;reference;preco;endereco;localizacao;metragem;quartos;garagens;banheiro
14627;ref: 186931;R$ 275.000;rua vidal barbosa;Sarandi, Porto Alegre - RS;60m²;2;2;1
14628;ref: 187053;R$ 270.000;rua riachuelo;Centro Histórico, Porto Alegre - RS;40m²;1;;1
14629;ref: 187057;R$ 1.300.000;rua doutor barcelos;Tristeza, Porto Alegre - RS;144m²;3;3;7
14630;ref: 187062;R$ 249.000;rua doutor mário totta;Tristeza, Porto Alegre - RS;60m²;2;1;1
14631;ref: 187077;R$ 1.490.000;rua vinte e quatro de outubro;Moinhos de Vento, Porto Alegre - RS;226m²;3;1;4
14632;ref: 187147;R$ 260.000;rua jaguari;Cristal, Porto Alegre - RS;65m²;2;1;1
14633;ref: 187189;R$ 155.000;avenida palmira gobbi;Humaitá, Porto Alegre - RS;55m²;2;;1
14634;ref: 187193;R$ 214.500;rua lasar segall;São Sebastião, Porto Alegre - RS;60m²;2;;2
14635;ref: 187222;R$ 330.000;avenida independencia;Moinhos de Vento, Porto Alegre - RS;50m²;1;;2
14636;ref: 186245;R$ 260.000;rua doutor dias da cruz;Medianeira, Porto Alegre - RS;55m²;2;1;1
14637;ref: 186257;R$ 119.000;rua doutor flores;Centro Histórico, Porto Alegre - RS;23m²;1;;2
14638;ref: 186493;R$ 230.000;rua sepe tiaraju;Medianeira, Porto Alegre - RS;61m²;2;1;1
14639;ref: 186585;R$ 235.000;avenida chui;Cristal, Porto Alegre - RS;47m²;2;1;2
14640;ref: 186607;R$ 320.000;rua gana;Vila Ipiranga, Porto Alegre - RS;49m²;1;2;1
14641;ref: 186669;R$ 300.000;avenida assis brasil;Cristo Redentor, Porto Alegre - RS;75m²;1;;1
14642;ref: 186684;R$ 224.000;rua franklin;Jardim Itu Sabará, Porto Alegre - RS;49m²;2;1;1
14643;ref: 186697;R$ 180.000;avenida a. j. renner;Humaitá, Porto Alegre - RS;48m²;2;;1
14644;ref: 184038;R$ 150.000*;rua doutor voltaire pires;Santo Antônio, Porto Alegre - RS;41m²;1;;1
14645;ref: 184042;R$ 190.000;avenida assis brasil;Passo da Areia, Porto Alegre - RS;40m²;1;;1
14646;ref: 184172;R$ 328.000;rua visconde de inhauma;Azenha, Porto Alegre - RS;61m²;2;1;2
14647;ref: 184414;R$ 139.000;rua tenente ary tarrago;Jardim Itu Sabará, Porto Alegre - RS;40m²;1;1;1
14648;ref: 184420;R$ 240.000;avenida baltazar de oliveira garcia;São Sebastião, Porto Alegre - RS;64m²;3;1;1
14649;ref: 184460;R$ 375.000;rua angelo crivellaro;Jardim do Salso, Porto Alegre - RS;82m²;2;1;2
14650;ref: 184584;R$ 340.000;rua joao ernesto schmidt;Jardim Itu Sabará, Porto Alegre - RS;64m²;2;1;1
14651;ref: 177820;R$ 224.000;rua joao guimaraes;Santa Cecilia, Porto Alegre - RS;37m²;1;;1
14652;ref: 178041;R$ 159.000;avenida a. j. renner;Humaitá, Porto Alegre - RS;48m²;2;;1
14653;ref: 178056;R$ 193.000;rua orfanotrofio;Alto Teresópolis, Porto Alegre - RS;49m²;2;1;1
