,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
156,ref: 152221,R$ 480.000,rua barao do triunfo,"Menino Deus, Porto Alegre - RS",80m²,2.0,1.0,1.0
157,ref: 71459,R$ 450.000,rua coronel andre belo,"Menino Deus, Porto Alegre - RS",57m²,2.0,1.0,2.0
158,ref: 169447,R$ 620.000,rua sinimbu,"Petropolis, Porto Alegre - RS",72m²,2.0,2.0,2.0
159,ref: 391073,R$ 449.000,rua ferreira viana,"Petropolis, Porto Alegre - RS",80m²,2.0,1.0,1.0
160,ref: 387006,R$ 630.000*,rua faria santos,"Petropolis, Porto Alegre - RS",90m²,2.0,2.0,2.0
161,ref: 391187,R$ 799.000*,avenida lavras,"Petropolis, Porto Alegre - RS",128m²,3.0,1.0,3.0
162,ref: 342751,R$ 450.000,rua coronel corte real,"Petropolis, Porto Alegre - RS",75m²,2.0,1.0,2.0
163,ref: 337265,R$ 630.000,rua barao do amazonas,"Petropolis, Porto Alegre - RS",73m²,2.0,2.0,3.0
164,ref: 294440,R$ 630.000,rua perpetua teles,"Petropolis, Porto Alegre - RS",99m²,2.0,1.0,2.0
165,ref: 294471,R$ 640.000,rua guararapes,"Petropolis, Porto Alegre - RS",102m²,3.0,1.0,2.0
166,ref: 294599,R$ 450.000,avenida protasio alves,"Petropolis, Porto Alegre - RS",75m²,2.0,2.0,2.0
167,ref: 15075,R$ 450.000,rua felipe de oliveira,"Petropolis, Porto Alegre - RS",67m²,2.0,1.0,2.0
168,ref: 151198,R$ 795.000,rua vicente da fontoura,"Petropolis, Porto Alegre - RS",141m²,3.0,1.0,4.0
169,ref: 361921,R$ 489.000,rua botafogo,"Menino Deus, Porto Alegre - RS",70m²,2.0,1.0,2.0
170,ref: 234969,R$ 800.000,rua professor langendonck,"Petropolis, Porto Alegre - RS",136m²,3.0,2.0,4.0
171,ref: 348455,R$ 635.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",65m²,2.0,2.0,2.0
172,ref: 157271,R$ 445.000,rua professor cristiano fischer,"Petropolis, Porto Alegre - RS",72m²,2.0,1.0,2.0
173,ref: 57367,R$ 636.000,rua coronel corte real,"Petropolis, Porto Alegre - RS",96m²,3.0,2.0,2.0
174,ref: 54327,R$ 439.000,travessa alexandrino de alencar,"Menino Deus, Porto Alegre - RS",50m²,2.0,1.0,1.0
175,ref: 388571,R$ 720.000,rua comendador caminha,"Moinhos de Vento, Porto Alegre - RS",84m²,2.0,1.0,2.0
176,ref: 324950,R$ 498.000,avenida padre cacique,"Menino Deus, Porto Alegre - RS",78m²,2.0,1.0,2.0
177,ref: 134725,R$ 435.000,avenida getulio vargas,"Menino Deus, Porto Alegre - RS",73m²,2.0,1.0,2.0
178,ref: 397308,R$ 440.000,avenida protasio alves,"Petropolis, Porto Alegre - RS",79m²,2.0,2.0,1.0
179,ref: 437316,R$ 430.000,rua botafogo,"Menino Deus, Porto Alegre - RS",71m²,2.0,1.0,2.0
180,ref: 438742,R$ 430.000,avenida padre cacique,"Menino Deus, Porto Alegre - RS",97m²,2.0,1.0,2.0
181,ref: 277049,R$ 649.000,rua curvelo,"Petropolis, Porto Alegre - RS",59m²,2.0,1.0,2.0
182,ref: 58022,R$ 650.000,rua professor ivo corseuil,"Petropolis, Porto Alegre - RS",78m²,2.0,2.0,2.0
183,ref: 64008,R$ 430.000,rua antenor lemos,"Menino Deus, Porto Alegre - RS",100m²,2.0,1.0,2.0
184,ref: 475131,R$ 435.000,avenida protasio alves,"Petropolis, Porto Alegre - RS",63m²,2.0,1.0,1.0
185,ref: 470833,R$ 435.000,avenida lageado,"Petropolis, Porto Alegre - RS",74m²,2.0,1.0,1.0
186,ref: 455634,R$ 660.000,rua faria santos,"Petropolis, Porto Alegre - RS",65m²,2.0,2.0,2.0
187,ref: 233394,R$ 660.000,rua guararapes,"Petropolis, Porto Alegre - RS",79m²,2.0,2.0,3.0
188,ref: 334427,R$ 830.000,rua eca de queiroz,"Petropolis, Porto Alegre - RS",137m²,3.0,2.0,2.0
189,ref: 261823,R$ 620.000,avenida palmeira,"Petropolis, Porto Alegre - RS",107m²,3.0,1.0,3.0
190,ref: 303706,R$ 435.000,rua joao abbott,"Petropolis, Porto Alegre - RS",74m²,2.0,1.0,2.0
191,ref: 16488,R$ 827.000,rua alvares machado,"Petropolis, Porto Alegre - RS",177m²,3.0,1.0,4.0
192,ref: 339458,R$ 425.000,avenida ganzo,"Menino Deus, Porto Alegre - RS",73m²,2.0,,1.0
193,ref: 277449,R$ 510.000,rua barao de teffe,"Menino Deus, Porto Alegre - RS",76m²,2.0,1.0,2.0
194,ref: 305530,R$ 840.000,avenida pirapo,"Petropolis, Porto Alegre - RS",142m²,3.0,2.0,2.0
195,ref: 280542,R$ 424.000,rua jose de alencar,"Menino Deus, Porto Alegre - RS",57m²,2.0,1.0,2.0
196,ref: 465536,R$ 610.000,rua professor ivo corseuil,"Petropolis, Porto Alegre - RS",87m²,3.0,2.0,2.0
197,ref: 459010,R$ 430.000,avenida ijui,"Petropolis, Porto Alegre - RS",66m²,2.0,1.0,1.0
198,ref: 440951,R$ 520.000,avenida getulio vargas,"Menino Deus, Porto Alegre - RS",118m²,2.0,,2.0
199,ref: 376563,R$ 430.000,avenida protasio alves,"Petropolis, Porto Alegre - RS",65m²,2.0,2.0,2.0
200,ref: 242300,R$ 430.000,avenida bage,"Petropolis, Porto Alegre - RS",82m²,2.0,1.0,2.0
201,ref: 326186,R$ 850.000,rua caju,"Petropolis, Porto Alegre - RS",101m²,3.0,2.0,3.0
202,ref: 326408,R$ 519.500*,rua silveiro,"Menino Deus, Porto Alegre - RS",52m²,2.0,1.0,1.0
203,ref: 316643,R$ 850.000,rua dona oti,"Petropolis, Porto Alegre - RS",118m²,3.0,3.0,4.0
204,ref: 335786,R$ 850.000,rua professor cristiano fischer,"Petropolis, Porto Alegre - RS",103m²,3.0,1.0,2.0
205,ref: 40861,R$ 850.000,rua perpetua teles,"Petropolis, Porto Alegre - RS",113m²,3.0,2.0,2.0
206,ref: 135113,R$ 420.000,rua dona augusta,"Menino Deus, Porto Alegre - RS",57m²,2.0,1.0,2.0
207,ref: 149311,R$ 420.000,rua barbedo,"Menino Deus, Porto Alegre - RS",76m²,2.0,,3.0
